cm,CU,
-8.29056385881225,0.0798103849278493,
-8.2513819575806,0.0816354977550833,
-8.21220005634896,0.0834782998993795,
-8.17301815511731,0.0846519800518939,
-8.13383625388566,0.0861203934169876,
-8.09465435265402,0.0876807682812308,
-8.05547245142237,0.0892078258354756,
-8.01629055019072,0.0904236790731052,
-7.97710864895907,0.0921481656580494,
-7.93792674772743,0.0941479511573036,
-7.89874484649578,0.0961633907048522,
-7.85956294526413,0.0980019944683748,
-7.82038104403249,0.10075325258218,
-7.78119914280084,0.103246285487921,
-7.74201724156919,0.10639575389404,
-7.70283534033755,0.111034128879489,
-7.6636534391059,0.116105666312144,
-7.62447153787425,0.125037044945457,
-7.58528963664261,0.139015406226116,
-7.54610773541096,0.16077718907321,
-7.50692583417931,0.193254297482627,
-7.46774393294767,0.239672687939383,
-7.42856203171602,0.304131391204133,
-7.38938013048437,0.380144441084287,
-7.35019822925273,0.46525353972376,
-7.31101632802108,0.553112521613576,
-7.27183442678943,0.63985123355677,
-7.23265252555778,0.721503074416472,
-7.19347062432614,0.794714067974472,
-7.15428872309449,0.85491444852416,
-7.11510682186284,0.898973627343524,
-7.0759249206312,0.926979007669303,
-7.03674301939955,0.951797529271856,
-6.9975611181679,0.967135231260128,
-6.95837921693626,0.974267474285247,
-6.91919731570461,0.981901928754593,
-6.88001541447296,0.98968150160411,
-6.84083351324132,0.992553250130037,
-6.80165161200967,0.995691940422699,
-6.76246971077802,0.997997841262036,
-6.72328780954637,0.99991262057789,
-6.68410590831473,1.00175070397084,
-6.64492400708308,1.00395815383811,
-6.60574210585143,1.00560125230066,
-6.56656020461979,1.00520411002418,
-6.52737830338814,1.00611142801485,
-6.48819640215649,1.00864633189124,
-6.44901450092485,1.01177631156195,
-6.4098325996932,1.01097574255852,
-6.37065069846155,1.01235213528974,
-6.33146879722991,1.01393908184866,
-6.29228689599826,1.01536916618591,
-6.25310499476661,1.01565724300195,
-6.21392309353496,1.01645203835701,
-6.17474119230332,1.01776341724243,
-6.13555929107167,1.01910646024512,
-6.09637738984002,1.01954158802828,
-6.05719548860838,1.02038032466418,
-6.01801358737673,1.02102388836174,
-5.97883168614508,1.02106390201591,
-5.93964978491344,1.02288368327096,
-5.90046788368179,1.02335510971208,
-5.86128598245014,1.02473284467791,
-5.8221040812185,1.02515336377659,
-5.78292217998685,1.0245472467589,
-5.7437402787552,1.02574743336958,
-5.70455837752356,1.02741901622525,
-5.66537647629191,1.02735918149116,
-5.62619457506026,1.02739834107042,
-5.58701267382861,1.02742174727217,
-5.54783077259697,1.028284574583,
-5.50864887136532,1.02853931500047,
-5.46946697013367,1.02848537149592,
-5.43028506890203,1.02878459420995,
-5.39110316767038,1.02933966908301,
-5.35192126643873,1.03042226972358,
-5.31273936520709,1.03038339216079,
-5.27355746397544,1.03284705956372,
-5.23437556274379,1.0338193823444,
-5.19519366151215,1.03212520962001,
-5.1560117602805,1.03006014303261,
-5.11682985904885,1.03048831163673,
-5.07764795781721,1.03067436363048,
-5.03846605658556,1.03107625785244,
-4.99928415535391,1.0329938692417,
-4.96010225412227,1.03225783238257,
-4.92092035289062,1.03130902766329,
-4.88173845165897,1.03261261513178,
-4.84255655042732,1.03249148510857,
-4.80337464919568,1.03203036675532,
-4.76419274796403,1.03364881837412,
-4.72501084673238,1.03447298189324,
-4.68582894550074,1.02915984555849,
